
. Module name, SLE, CFG, ARI1, BUFFER, MACC_PA, RAM1K20, RAM64X12, GLOBAL, IO
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_78s_0_1_3_0, 106, 59, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_78s_0_1_3_1, 100, 56, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_83s_0_1_3_2, 148, 80, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_SlvProtocolConverter_Z14, 56, 172, 64, 0, 0, 0, 8, 0, 0
.	.	.	.	.	.	. caxi4interconnect_SlvAxi4ProtConvAXI4ID_1_9s_8s_0_0, 28, 85, 32, 0, 0, 0, 4, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_FIFO_256s_9s_9s_255s_0s_256s_8s_0s_255s_COREAXI4INTERCONNECT_Z9_0, 28, 79, 32, 0, 0, 0, 4, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_FIFO_CTRL_256s_255s_0s_8s_256s_0s_COREAXI4INTERCONNECT_Z9_1, 28, 71, 16, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_RAM_BLOCK_256s_8s_9s_0s_0, 0, 8, 16, 0, 0, 0, 4, 0, 0
.	.	.	.	.	.	. caxi4interconnect_SlvAxi4ProtConvAXI4ID_1_9s_8s_0_1, 28, 87, 32, 0, 0, 0, 4, 0, 0
.	.	.	.	.	.	.	. caxi4interconnect_FIFO_256s_9s_9s_255s_0s_256s_8s_0s_255s_COREAXI4INTERCONNECT_Z9, 28, 81, 32, 0, 0, 0, 4, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_FIFO_CTRL_256s_255s_0s_8s_256s_0s_COREAXI4INTERCONNECT_Z9, 28, 73, 16, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	.	.	. caxi4interconnect_RAM_BLOCK_256s_8s_9s_0s, 0, 8, 16, 0, 0, 0, 4, 0, 0
.	.	. PCIE_INITIATOR, 1022, 706, 44, 0, 0, 0, 8, 1, 0
.	.	.	. COREAXI4INTERCONNECT_Z19, 1022, 706, 44, 0, 0, 0, 8, 1, 0
.	.	.	.	. caxi4interconnect_MasterConvertor_Z22, 482, 280, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. caxi4interconnect_RegisterSlice_1_1_1_1_1_4s_38s_64s_0s_1s, 482, 280, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. caxi4interconnect_RegSliceFull_72s_0_1_3_2, 144, 78, 0, 0, 0, 0, 0, 0, 0
